train\1\Im_B0\1.jpg ['0.2091203220', '12.6991097200', '0.0220812510', '4.4780905300', '0.0014995780', '-2.4168324420', '48.6404901700', '-3.3573481390'] 0.01121538108888889
train\1\Im_B0\2.jpg ['0.1747884370', '12.6921153700', '0.0223489090', '4.4838374610', '0.0007608750', '-2.4062631140', '48.0066517100', '-3.3482751520'] 0.01121538108888889
train\1\Im_B0\3.jpg ['0.1529444260', '12.6851233800', '0.0222496600', '4.4915307930', '0.0000881000', '-2.3961618950', '47.3731330200', '-3.3397010770'] 0.011153810888888888
train\1\Im_B0\4.jpg ['0.1422293920', '12.6781337000', '0.0217767130', '4.5011327930', '-0.0003429800', '-2.3886878450', '46.7399568200', '-3.3312798840'] 0.012121538108888889
train\1\Im_B0\5.jpg ['0.1392562720', '12.6711463500', '0.0209464130', '4.5124971230', '-0.0008912310', '-2.3794810280', '46.1071351300', '-3.3228340010'] 0.01121538108888889
train\1\Im_B0\6.jpg ['0.1403979990', '12.6641612900', '0.0197908280', '4.5254102260', '-0.0013705330', '-2.3708720270', '45.4746716900', '-3.3143101610'] 0.01121538108888889
train\1\Im_B0\7.jpg ['0.1428361870', '12.6571785500', '0.0183512030', '4.5396233270', '-0.0017775660', '-2.3628790860', '44.8425655000', '-3.3057240250'] 0.01121538108888889
train\1\Im_B0\8.jpg ['0.1449210280', '12.6501981200', '0.0166728840', '4.5548748510', '-0.0021091080', '-2.3555098450', '44.2108138100', '-3.2971143120'] 0.011673151755555557
train\1\Im_B0\9.jpg ['0.1460417060', '12.6432200000', '0.0148018720', '4.5709047570', '-0.0023626840', '-2.3487630180', '43.5794149400', '-3.2885026100'] 0.015030136566666666
train\1\Im_B0\10.jpg ['0.1465607990', '12.6362441900', '0.0105519380', '4.5991747860', '-0.0034812400', '-2.3363310290', '42.9483763700', '-3.2797784880'] 0.020523384455555557
train\1\Im_B0\11.jpg ['0.1497186440', '12.6292707200', '0.0110868700', '4.6019176950', '-0.0040017440', '-2.3279919970', '42.3177291400', '-3.2705025100'] 0.023270008388888888
train\1\Im_B0\12.jpg ['0.1638924090', '12.6222996300', '0.0119405630', '4.6026380580', '-0.0045618280', '-2.3195408790', '41.6875175100', '-3.2600682110'] 0.023270008388888888
train\1\Im_B0\13.jpg ['0.1938601640', '12.6153309200', '0.0129336830', '4.6022452450', '-0.0051623420', '-2.3111135250', '41.0577622000', '-3.2482193240'] 0.023270008388888888
train\1\Im_B0\14.jpg ['0.2313694640', '12.6083644800', '0.0138965770', '4.6016360710', '-0.0057959860', '-2.3028346990', '40.4284494000', '-3.2351772390'] 0.023270008388888888
train\1\Im_B0\15.jpg ['0.2642749570', '12.6014002700', '0.0146962030', '4.6015654680', '-0.0064441840', '-2.2948161860', '39.7995499300', '-3.2213572010'] 0.023270008388888888
train\1\Im_B0\16.jpg ['0.2871129580', '12.5944382800', '0.0152440980', '4.6025599570', '-0.0070832720', '-2.2871676700', '39.1710345900', '-3.2071577280'] 0.023270008388888888
train\1\Im_B0\17.jpg ['0.2997333580', '12.5874785700', '0.0154158330', '4.6081717120', '-0.0076895030', '-2.2799960630', '38.5428813900', '-3.1928683960'] 0.023270008388888888
train\1\Im_B0\18.jpg ['0.3045709580', '12.5805211500', '0.0149863330', '4.6146837900', '-0.0082416820', '-2.2734017330', '37.9150774200', '-3.1786526020'] 0.023270008388888888
train\1\Im_B0\19.jpg ['0.3047708760', '12.5735660400', '0.0142599610', '4.6225084870', '-0.0087221430', '-2.2674742840', '37.2876174600', '-3.1645718310'] 0.023270008388888888
train\1\Im_B0\20.jpg ['0.3030380390', '12.5666132300', '0.0132670910', '4.6314742250', '-0.0091167030', '-2.2622890200', '36.6605011900', '-3.1506247110'] 0.023270008388888888
train\1\Im_B0\21.jpg ['0.3011376100', '12.5596627000', '0.0120451360', '4.6413675900', '-0.0094141350', '-2.2579043450', '36.0337305600', '-3.1367829120'] 0.022354467077777777
train\1\Im_B0\22.jpg ['0.2998850890', '12.5527144700', '0.0106337500', '4.6519631530', '-0.0096055920', '-2.2543599400', '35.4073062300', '-3.1230353700'] 0.0160982681
train\1\Im_B0\23.jpg ['0.2988153730', '12.5457685000', '0.0090728320', '4.6630402700', '-0.0099631540', '-2.2478449400', '34.7812137600', '-3.1095598720'] 0.008468757155555555
train\1\Im_B0\24.jpg ['0.2922582240', '12.5388247000', '0.0074060870', '4.6743982880', '-0.0099779390', '-2.2453707290', '34.1554032400', '-3.0969622050'] 0.004196231022222222
train\1\Im_B0\25.jpg ['0.2668151600', '12.5318830600', '0.0056883200', '4.6858690370', '-0.0098447930', '-2.2437418570', '33.5298143500', '-3.0859440010'] 0.0034332799222222222
train\1\Im_B0\26.jpg ['0.2183857470', '12.5249437200', '0.0028575990', '4.7029431670', '0.0042004370', '-2.3065824900', '32.9044197400', '-3.0767755240'] 0.003280689711111111
train\1\Im_B0\27.jpg ['0.1592063720', '12.5180067600', '0.0037253910', '4.7012941210', '0.0043776230', '-2.3034400570', '32.2792371400', '-3.0691830030'] 0.003280689711111111
train\1\Im_B0\28.jpg ['0.1061722450', '12.5110721600', '0.0047860840', '4.6991106580', '0.0047104670', '-2.3007154750', '31.6543078500', '-3.0626357950'] 0.003280689711111111
train\1\Im_B0\29.jpg ['0.0682133230', '12.5041398600', '0.0058761130', '4.6972706170', '0.0051361110', '-2.2981593420', '31.0296756800', '-3.0566032960'] 0.003280689711111111
train\1\Im_B0\30.jpg ['0.0463981260', '12.4972098400', '0.0068451610', '4.6965188220', '0.0055931520', '-2.2955393920', '30.4053750300', '-3.0506863380'] 0.003280689711111111
train\1\Im_B0\31.jpg ['0.0372904170', '12.4902820900', '0.0075842190', '4.6973397730', '0.0060302740', '-2.2926617480', '29.7814271900', '-3.0446468360'] 0.003280689711111111
train\1\Im_B0\32.jpg ['0.0360141770', '12.4833566100', '0.0051193730', '4.7215300960', '0.0064110190', '-2.2893874240', '29.1578418600', '-3.0383793170'] 0.003280689711111111
train\1\Im_B0\33.jpg ['0.0382219900', '12.4764333900', '0.0045229630', '4.7321175550', '0.0066825230', '-2.2855284030', '28.5346210100', '-3.0318612480'] 0.003280689711111111
train\1\Im_B0\34.jpg ['0.0409858490', '12.4695124300', '0.0052721370', '4.7351920350', '0.0071717350', '-2.2822390680', '27.9117629300', '-3.0251064540'] 0.003280689711111111
train\1\Im_B0\35.jpg ['0.0428796590', '12.4625937400', '0.0063423730', '4.7363439650', '0.0077158740', '-2.2788531120', '27.2892651800', '-3.0181332430'] 0.003280689711111111
train\1\Im_B0\36.jpg ['0.0436010520', '12.4556773100', '0.0075987880', '4.7363927100', '0.0083000110', '-2.2752659070', '26.6671262100', '-3.0109488970'] 0.007095445177777778
train\1\Im_B0\37.jpg ['0.0434550710', '12.4487631400', '0.0089179390', '4.7360885950', '0.0089049310', '-2.2713702600', '26.0453520700', '-3.0034835630'] 0.012436102844444444
train\1\Im_B0\38.jpg ['0.0453697680', '12.4418512300', '0.0101988060', '4.7360347800', '0.0103983520', '-2.2660824630', '25.4239734200', '-2.9954295990'] 0.013199053944444445
